metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Sex,204736c3bd4a4c1f840e9fc99a5155d2,Male,0.5976634949,0.2308884672,137,98,0.01343167594,0.1451012295
Sex,8a8c39a3e855256f236f71f39bf300aa,Male,-0.5832342028,0.2257074824,137,19,0.0134757668,0.1451012295
Line,dcd0c235615b718f89bb8cc76b5a627f,Vil1Cre,1.539346764,0.5968424298,137,58,0.01369006584,0.146616189
Sequencing_Run,3eeb6fa3850d5ab2864e37931dc1781b,NovaSeq_Jan_Twenty,-1.447744554,0.5616599451,137,49,0.01377673653,0.1467553967
Site,0758746de870fac931a39b11205ea4f6,Duodenum,-0.3697761145,0.1473212953,137,38,0.01388929898,0.1471674658
Site,653c972b92d846f3b6b199c4f5257025,Duodenum,-0.583009948,0.2326327352,137,109,0.01403396873,0.1479135752
Line,6f0b4058c92e83c77533a218739a0e38,LyzCre,0.8668707877,0.3381152592,137,43,0.01414228802,0.1482707249
Sequencing_Run,73e42306e185be6f0c6060d4ed924469,NovaSeq_Jan_Twenty,1.747031431,0.6818702758,137,131,0.01433032199,0.1491051405
Sequencing_Run,89c209abd89a5232343a4c87c93cb4ea,NovaSeq_Jan_Twenty,2.157338221,0.8432221271,137,122,0.01442889611,0.1491051405
Line,799fcd30c710ffaccf04ca2879108efa,LyzCre,1.267940706,0.4966832796,137,18,0.01452128376,0.1491051405
Line,090dac4c317bdb16f9ab434da4e8a35f,Vil1Cre,-0.7995458456,0.3124586348,137,21,0.01451560174,0.1491051405
Line,64864a4b76fc5cccc00f4e44f8dbcff4,Vil1Cre,0.9079590974,0.3557595468,137,86,0.01471140135,0.1496673777
Line,184d1c27d9866996ffbca04cfad3ded3,Vil1Cre,0.6951141528,0.2726756737,137,16,0.01472630825,0.1496673777
Line,a589fa026973c67d0f1c7b741d85b90c,JJWT,4.158077353,1.639188733,137,86,0.01517767545,0.1534717233
Line,1215303fb541fab34f6257176ded8fc4,Vil1Cre,1.482288959,0.585106897,137,27,0.01530756673,0.1540033986
Sequencing_Run,ab7dca7c56ab62bab49107c13b7e1bc8,NovaSeq_Jan_Twenty,-0.993175262,0.3931398818,137,23,0.01558010312,0.1559576152
Site,564a2d40353ba6af46b47a2d367a3d56,Jejunum,-0.3801023025,0.1543437839,137,119,0.01573767961,0.1559674517
Line,46864a6aa122ecb439eb59a3c0542ee6,Vil1Cre,0.8782454737,0.3479043797,137,52,0.01568802257,0.1559674517
Line,4a6d7625157c8e66f126e813b0a0fc4c,Vil1Cre,-1.058562017,0.4210119806,137,22,0.01603858492,0.158162679
Site,b3703a2157a018a94473b0861589dde0,Duodenum,0.4180275996,0.1705793554,137,133,0.01621739827,0.1582531762
Site,76d6be90e19a660c9a84b35fa31d801c,Duodenum,0.3473157284,0.1417075396,137,62,0.01621718326,0.1582531762
Line,598a513a3552c092cd8b71a429c45ab1,Vil1Cre,0.5716813289,0.2278182577,137,23,0.01628609494,0.1582531762
Site,f33aa1513c4933703b7070ec1e43c191,Jejunum,-0.4233181153,0.1731210752,137,69,0.01646208415,0.1591867555
Sequencing_Run,94adac1e5690b5aef26d6014e471f458,NovaSeq_Jan_Twenty,1.475505214,0.5896912285,137,48,0.01655607127,0.1593221931
Line,0daddf1b0a2e7ae6c3add7261ca7b510,Vil1Cre,0.7866378027,0.3149366873,137,128,0.01675747805,0.1604850783
Line,f5fb42e8863737981eb6e04a3de22e29,Vil1Cre,-1.021519237,0.4100814601,137,137,0.01702724489,0.1612808472
Site,b8d0d192e1821980a4d2d8292dcd4c42,Duodenum,0.3822312283,0.1574549972,137,81,0.01724539179,0.1612808472
Line,58fde6dae459af7ec3ed3eea10b1c0cb,Vil1Cre,0.6475482193,0.2598953173,137,20,0.01702739888,0.1612808472
Sequencing_Run,7b5a9a466d6970735cb986d2e97b7d03,NovaSeq_Jan_Twenty,-1.581855438,0.6352835405,137,21,0.01708900402,0.1612808472
Line,ab7dca7c56ab62bab49107c13b7e1bc8,JJWT,1.227583319,0.4939419092,137,23,0.01717969733,0.1612808472
Line,d33d037914391243a664e78b0865819d,Vil1Cre,1.222086977,0.4929346144,137,17,0.01747357091,0.1626511834
Site,f5bf4e20e8a4c371b702c2cf491f56e8,Jejunum,-0.3966762488,0.1645616582,137,33,0.01799702213,0.165207687
Sex,9e39af3708ad41aca6e8d5ab47b4efa2,Male,-0.6581916143,0.2667153316,137,27,0.01795142101,0.165207687
Sequencing_Run,c8433912bf1d2d7d9dd177739211ae41,NovaSeq_Mar_Twenty,2.752341627,1.118694862,137,37,0.01794618548,0.165207687
